original_id,date,titulaire-soutien,target_label,split,LOF_Score,is_statistical_outlier
EL137_L_1981_06_093_06_1_PF_02,1981-06-14,Lutte ouvrière,FAR_LEFT,train,25.882496,True
EL135_L_1981_06_057_03_2_PF_02,1981-06-21,Rassemblement pour la République,RIGHT_RPR,train,12.110074,True
EL198_L_1993_03_093_12_1_PF_01,1993-03-21,Front national,FAR_RIGHT_FN,train,11.78452,True
EL136_L_1981_06_071_01_1_PF_01,1981-06-14,Parti socialiste,LEFT_PS,train,8.441261,True
EL134_L_1981_06_02A_01_1_PF_03,1981-06-14,Mouvement des radicaux de gauche,LEFT_PS,train,8.417175,True
EL196_L_1993_03_080_01_2_PF_02,1993-03-28,Union pour la démocratie française;Rassemblement pour la République,RIGHT_UPF,train,8.021093,True
EL191_L_1993_03_033_11_2_PF_01,1993-03-28,Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,RIGHT_UPF,test,7.790802,True
EL177_L_1988_06_094_02_1_PF_03,1988-06-05,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,7.46717,True
EL174_L_1988_06_026_04_1_PF_01,1988-06-05,Parti communiste français,LEFT_PCF,train,7.435535,True
EL198_L_1993_03_093_10_2_PF_02,1993-03-28,Front national,FAR_RIGHT_FN,train,7.4294786,True
EL174_L_1988_06_013_08_1_PF_04,1988-06-05,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,7.3404818,True
EL137_L_1981_06_080_03_1_PF_04,1981-06-14,Mouvement des radicaux de gauche;gaullistes de gauche;Mouvement des démocrates,LEFT_PS,test,7.184435,True
EL174_L_1988_06_026_01_1_PF_01,1988-06-05,Parti communiste français,LEFT_PCF,train,7.140618,True
EL135_L_1981_06_062_07_1_PF_05,1981-06-14,Association nationale Pétain-Verdun;Mouvement populiste français;Front national,FAR_RIGHT_FN,train,7.029546,True
EL134_L_1981_06_034_01_1_PF_01,1981-06-14,Front national,FAR_RIGHT_FN,train,7.0195436,True
EL198_L_1993_03_093_08_2_PF_02,1993-03-28,Front national,FAR_RIGHT_FN,train,7.005477,True
EL136_L_1981_06_069_02_1_PF_01,1981-06-14,Parti socialiste,LEFT_PS,train,6.924899,True
EL193_L_1993_03_059_07_1_PF_01,1993-03-21,Front national,FAR_RIGHT_FN,train,6.8860974,True
EL176_L_1988_06_068_03_1_PF_01,1988-06-05,Front national,FAR_RIGHT_FN,test,6.772834,True
EL137_L_1981_06_078_01_2_PF_02,1981-06-21,Rassemblement pour la République;Union pour la démocratie française,RIGHT_UNM,train,6.7343054,True
EL134_L_1981_06_024_02_2_PF_02,1981-06-21,Rassemblement pour la République;Union pour la démocratie française;Mouvement pour le socialisme par la participation;Radicaux-socialistes;Centre national des indépendants,LEFT_PS,train,6.6805186,True
EL174_L_1988_06_006_03_1_PF_05,1988-06-05,Front national,FAR_RIGHT_FN,train,6.6687474,True
EL177_L_1988_06_093_05_1_PF_05,1988-06-05,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,6.5435386,True
EL196_L_1993_03_077_05_1_PF_07,1993-03-21,Front national,FAR_RIGHT_FN,train,6.505882,True
EL176_L_1988_06_059_21_1_PF_02,1988-06-05,Parti communiste français,LEFT_PCF,train,6.5006466,True
EL136_L_1981_06_075_26_1_PF_05,1981-06-14,Union pour la démocratie française,RIGHT_UDF,train,6.4962473,True
EL194_L_1993_03_066_01_1_PF_08,1993-03-21,Front national,FAR_RIGHT_FN,train,6.445123,True
EL177_L_1988_06_075_06_2_PF_02,1988-06-12,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,6.34458,True
EL197_L_1993_03_090_02_1_PF_08,1993-03-21,Union pour la démocratie française;Rassemblement pour la République,RIGHT_UPF,train,6.234958,True
EL198_L_1993_03_092_01_1_PF_02,1993-03-21,Front national,FAR_RIGHT_FN,test,6.1709166,True
EL196_L_1993_03_080_02_1_PF_03,1993-03-21,Parti socialiste,LEFT_PS,test,5.771951,True
EL198_L_1993_03_094_10_2_PF_02,1993-03-28,Rassemblement pour la République;Union pour la démocratie française,RIGHT_UPF,train,5.7605004,True
EL176_L_1988_06_062_08_1_PF_02,1988-06-05,Front national,FAR_RIGHT_FN,train,5.7065897,True
EL134_L_1981_06_013_03_2_PF_02,1981-06-21,Rassemblement pour la République;Parti républicain;Centre des démocrates sociaux,RIGHT_RPR,train,5.5995913,True
EL192_L_1993_03_049_02_2_PF_01,1993-03-28,Parti socialiste,LEFT_PS,train,5.5616975,True
EL175_L_1988_06_043_02_1_PF_02,1988-06-05,Parti communiste français,LEFT_PCF,train,5.4338555,True
EL135_L_1981_06_057_01_1_PF_02,1981-06-14,Union pour la démocratie française;Rassemblement pour la République,RIGHT_UNM,train,5.3845377,True
EL174_L_1988_06_015_02_1_PF_04,1988-06-05,Parti communiste français,LEFT_PCF,test,5.3462315,True
EL176_L_1988_06_064_05_1_PF_02,1988-06-05,Union pour la démocratie française,RIGHT_UDF,train,5.3171554,True
EL134_L_1981_06_008_02_1_PF_01,1981-06-14,Rassemblement pour la République;Union pour la démocratie française,RIGHT_UNM,train,5.2427154,True
EL135_L_1981_06_051_02_2_PF_02,1981-06-21,Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants et paysans,RIGHT_UNM,train,5.2328067,True
EL191_L_1993_03_033_11_1_PF_04,1993-03-21,Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,RIGHT_UPF,train,5.1662602,True
EL197_L_1993_03_089_01_1_PF_07,1993-03-21,Front national,FAR_RIGHT_FN,train,5.116346,True
EL174_L_1988_06_013_07_1_PF_04,1988-06-05,Front national,FAR_RIGHT_FN,train,5.0935907,True
EL198_L_1993_03_093_04_1_PF_05,1993-03-21,Front national,FAR_RIGHT_FN,train,5.0778074,True
EL177_L_1988_06_083_03_1_PF_04,1988-06-05,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,5.074038,True
EL191_L_1993_03_034_03_2_PF_02,1993-03-28,Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;Union du centre;divers droite,RIGHT_UPF,test,5.0570536,True
EL174_L_1988_06_013_07_2_PF_02,1988-06-12,Front national,FAR_RIGHT_FN,test,5.0558414,True
EL189_L_1993_03_013_07_2_PF_01,1993-03-28,Front national,FAR_RIGHT_FN,test,5.021186,True
EL137_L_1981_06_089_01_2_PF_01,1981-06-21,Parti socialiste,LEFT_PS,train,5.0178013,True
EL198_L_1993_03_092_03_1_PF_03,1993-03-21,Front national,FAR_RIGHT_FN,train,5.002774,True
EL197_L_1993_03_083_03_2_PF_01,1993-03-28,Front national,FAR_RIGHT_FN,train,4.95551,True
EL135_L_1981_06_050_03_1_PF_02,1981-06-14,Socialistes,LEFT_PS,test,4.914798,True
EL135_L_1981_06_042_01_2_PF_02,1981-06-21,Parti radical-socialiste;Mouvement des démocrates sociaux;Parti républicain;Centre national des indépendants;Centre des démocrates sociaux;Union pour la démocratie française,LEFT_PS,train,4.883782,True
EL174_L_1988_06_006_06_1_PF_03,1988-06-05,Rassemblement pour la République,RIGHT_RPR,train,4.860678,True
EL175_L_1988_06_038_08_2_PF_01,1988-06-12,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,4.848447,True
EL176_L_1988_06_059_24_1_PF_04,1988-06-05,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,4.8324046,True
EL197_L_1993_03_089_03_1_PF_06,1993-03-21,Front national,FAR_RIGHT_FN,test,4.774796,True
EL177_L_1988_06_093_09_1_PF_02,1988-06-05,Parti socialiste;Mouvement des radicaux de gauche;Mouvement des gaullistes populaires,LEFT_PS,train,4.749315,True
EL137_L_1981_06_093_07_1_PF_07,1981-06-14,Union pour la démocratie française,RIGHT_UDF,train,4.740129,True
EL196_L_1993_03_078_05_2_PF_01,1993-03-28,Rassemblement pour la République;Centre national des indépendants,RIGHT_RPR,test,4.739581,True
EL137_L_1981_06_076_09_1_PF_01,1981-06-14,Lutte ouvrière,FAR_LEFT,test,4.6959653,True
EL189_L_1993_03_013_04_1_PF_05,1993-03-21,Front national,FAR_RIGHT_FN,train,4.683694,True
EL191_L_1993_03_040_03_2_PF_01,1993-03-28,Parti socialiste,LEFT_PS,train,4.6814466,True
EL177_L_1988_06_092_07_1_PF_03,1988-06-05,Centre national des indépendants et paysans;Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,4.6358466,True
EL135_L_1981_06_059_04_1_PF_05,1981-06-14,Rassemblement pour la République,RIGHT_RPR,test,4.5403295,True
EL177_L_1988_06_075_03_1_PF_04,1988-06-05,Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants et paysans,RIGHT_URC,train,4.537089,True
EL177_L_1988_06_075_06_1_PF_04,1988-06-05,Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,4.530751,True
EL194_L_1993_03_067_03_1_PF_10,1993-03-21,Parti communiste français,LEFT_PCF,train,4.47638,True
EL134_L_1981_06_007_01_2_PF_01,1981-06-21,Parti socialiste,LEFT_PS,train,4.4502473,True
EL174_L_1988_06_014_02_1_PF_05,1988-06-05,Front national,FAR_RIGHT_FN,train,4.4488654,True
EL135_L_1981_06_042_04_1_PF_02,1981-06-14,Parti socialiste,LEFT_PS,train,4.447115,True
EL175_L_1988_06_040_01_2_PF_01,1988-06-12,Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants et paysans,RIGHT_URC,train,4.431165,True
EL194_L_1993_03_067_04_2_PF_02,1993-03-28,Front national;Cercle national des femmes d'Europe;Fraternité française;Association pour le développement de la démocratie directe;Comité pour l'Europe des Patries,FAR_RIGHT_FN,test,4.427209,True
EL189_L_1993_03_004_01_1_PF_05,1993-03-21,Front national,FAR_RIGHT_FN,test,4.3690815,True
EL177_L_1988_06_094_01_1_PF_01,1988-06-05,Centre national des indépendants et paysans;Rassemblement pour la République;Union pour la démocratie française,RIGHT_URC,train,4.3642926,True
EL196_L_1993_03_077_03_1_PF_01,1993-03-21,Front national,FAR_RIGHT_FN,train,4.3575435,True
