,ECO,FAR_LEFT,FAR_RIGHT_FN,LEFT_PCF,LEFT_PS,RIGHT_RPR,RIGHT_UDF,RIGHT_UNM,RIGHT_UPF,RIGHT_URC
ECO,1.0,-0.2259,-0.2958,-0.4422,-0.2073,-0.279,-0.1326,-0.3352,-0.1532,-0.1909
FAR_LEFT,-0.2259,1.0,0.0259,0.3804,-0.4093,-0.4566,-0.5033,-0.3572,-0.4752,-0.5798
FAR_RIGHT_FN,-0.2958,0.0259,1.0,-0.2115,-0.54,-0.1849,-0.2611,-0.0731,-0.1042,-0.2108
LEFT_PCF,-0.4422,0.3804,-0.2115,1.0,0.1461,-0.2668,-0.3801,-0.0937,-0.479,-0.3209
LEFT_PS,-0.2073,-0.4093,-0.54,0.1461,1.0,0.495,0.5009,0.4157,0.2832,0.3998
RIGHT_RPR,-0.279,-0.4566,-0.1849,-0.2668,0.495,1.0,0.8223,0.7485,0.7236,0.7082
RIGHT_UDF,-0.1326,-0.5033,-0.2611,-0.3801,0.5009,0.8223,1.0,0.6726,0.7063,0.7781
RIGHT_UNM,-0.3352,-0.3572,-0.0731,-0.0937,0.4157,0.7485,0.6726,1.0,0.3651,0.5057
RIGHT_UPF,-0.1532,-0.4752,-0.1042,-0.479,0.2832,0.7236,0.7063,0.3651,1.0,0.741
RIGHT_URC,-0.1909,-0.5798,-0.2108,-0.3209,0.3998,0.7082,0.7781,0.5057,0.741,1.0
