Document_ID,Subset_Origin,Date,Official_Party,True_Label_y,Predicted_Label_y_hat,Margin_Status,LOF_Score,Test_Set_Rank,Test_Set_Percentile,OOV_Rate,Diagnostic_Heuristic,Snippet_Processed
EL191_L_1993_03_033_11_2_PF_01,VISUAL ANOMALIES,1993-03-28,Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,RIGHT_UPF,RIGHT_UPF,CORRECT,7.7908,1,0.067,0.0729,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,union opposition rpr cnip independant paysan conseiller avocat marier enfant daniel picotin legislative placer tete voix avance socialiste manifester souhait politique mener pays sensible situation favorable quasi totalite subir incontestable desaveu sensibilite exprimer ne_manquer compte message maintien tradition rural sauvegarde environnement defense entreprise toucher promettre miracle compte tenir mauvais situation laisser proposer pays politique redressement economique moral majorite attaq...
EL174_L_1988_06_015_02_1_PF_04,VISUAL ANOMALIES,1988-06-05,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,5.3462,6,0.4021,0.0343,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative dissolution appeler prochain reelire elargir coude coude assurer defense demarche mener initiative defense agriculture cantalien suppression mortel quota obtenir formation localite defense promotion maintien amelioration developpement associatif culture occitan compte poursuivre demarche appeler union defendre union chang savez appeler conjurer danger droite extreme droite favoriser union populaire attacher ne_approuver demarche alliance durable gouvernement parlement parti droite ap...
EL135_L_1981_06_050_03_1_PF_02,VISUAL ANOMALIES,1981-06-14,Socialistes,LEFT_PS,LEFT_PS,CORRECT,4.9148,10,0.6702,0.0813,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative troisieme connaitre naitre aine enfant agriculteur primaire etude secondaire licencie droit diplome institut etude politique diplome etude superieur doctorat droit public instituteur enfant direction general bnp ourry naitre exploitant primaire etude rural enfant agriculteur section fermier metayer fnsea association energie ne_adherer parti politique large majorite presidentiell ne_peur confiance porter presidence vaste populaire venir idee progres idee justice social jeunesse defait...
EL197_L_1993_03_091_06_1_PF_04,VISUAL ANOMALIES,1993-03-21,Rassemblement pour la République;Centre national des indépendants,RIGHT_RPR,RIGHT_UPF,MISCLASSIFIED,2.8459,55,3.6863,0.0328,True Anomaly. Boundary misclassification corroborated by spatial isolation.,legislative republique eme courage choisir politique stopper declin social economique pays niveau chomage atteindre dizaine entreprise fermer immigration clandestin encourager montee irresistible drogue insecurite socialiste mener catastrophe loi amnistie accumuler scandale financier enrichir depens femme temps elire triste colere lever dire exister pays elu honnete soucieux interet public pret travail entreprendre formidable effort redressement presente habitant connaitre consacrer temps servic...
EL135_L_1981_06_059_20_1_PF_01,VISUAL ANOMALIES,1981-06-14,Parti communiste français,LEFT_PCF,LEFT_PCF,CORRECT,1.2325,597,40.0134,0.05,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,nord legislative changement construire fraternel changement remercier appel lancer soir injustice douleur humiliation atteindre liberte ne_reussir changement part animer volonte ecarter obstacle changement reprise accorder demande renouveler confiance contribuer elire mise gouvernement retrouver contribuer region pays europeen conseiller municipal president marier enfant nord envisager avenir declin precipiter politique grand capital developpement modernisation valeur richesse region million cha...
EL195_L_1993_03_075_03_1_PF_04,VISUAL ANOMALIES,1993-03-21,Parti socialiste;Mouvement des radicaux de gauche,LEFT_PS,FAR_RIGHT_FN,MISCLASSIFIED,1.0851,1042,69.8391,0.027,True Anomaly. Boundary misclassification corroborated by spatial isolation.,legislative pen henand marier garcon diplome institut etude politique courtier financier stephan bexon marier enfant commercial compatriote chomage insecurite immigration pauvrete impot affaire constater constat dramatique reel inquiet responsable etat politicien gauche droite reveler incapable gouverner pays raison avenir apparaitre angoissant politique ne_fatalite prendre destin retrouver grandeur justice honnetete education fraternite mot reel valeur entendre voix verite invite renaissance so...
EL137_L_1981_06_080_03_1_PF_04,TOP 10 STATISTICAL OUTLIERS,1981-06-14,Mouvement des radicaux de gauche;gaullistes de gauche;Mouvement des démocrates,LEFT_PS,LEFT_PS,CORRECT,7.1844,2,0.134,0.0308,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,entreprise comptabilite etude famille maternel originaire responsable novateur membre commission economiqu mouvement radical gauche participer lancement atelier cooperatif cooperative ancien presenter ouvrier negocier interet societe anglais responsable experimente definir terrain partisan solution concret secretaire responsable departemental artisan gauche sincere legislative apporter voix couillet cacher indignation communiste disparition hommage emouvant remarquer reprendre presse local journ...
EL176_L_1988_06_068_03_1_PF_01,TOP 10 STATISTICAL OUTLIERS,1988-06-05,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,6.7728,3,0.2011,0.0038,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,raison droite face responsable declin immigration bureaucratie marasme economique alsace fraternel present remplir contribuable payent difference collegue groupe absent elire ne_entendre socialiste vœu appreter centriste rpr prononcer union antisocialiste preference priorite emploi suppression taxe professionnel creation revenu maternel famille peine assassin trafiquant drogue rpr udf joindre voix opposer defendre liberte enseignement proposer suppression quota maintien agriculteur lutte reducti...
EL198_L_1993_03_092_01_1_PF_02,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,6.1709,4,0.2681,0.0127,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative pen originaire marier fils ancien elever fonctionnaire conseiller elu conseiller regional enfant insecurite drogue immigration chomage pauvrete impot urbanisme devoyer affaire ne_subir contrecoup responsable politicien user droite gauche sevir decennie phrase blablabla regler difficulte quotidien ne_confiance prendre destin utile idee œuvrer renaissance ne_tromper ne_tromper aidez compte compter socialo communisme million chomeur million delit crime million immigres seropositif ecolo...
EL196_L_1993_03_080_02_1_PF_03,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Parti socialiste,LEFT_PS,LEFT_PS,CORRECT,5.772,5,0.3351,0.0811,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,progres parti socialistele monde dur droite gouvernement gauche realiser reforme justice social grand chantier avenir insatisfaction demeurer exprimer comprendre pays industrialiser chomage continuer sevir droite ne_preoccuper emploi justice social refuser obstinement partage travail ne_contraire attaquer acquis social epoque difficile rassembler progres volonte pays engagement continuer battre performant agglomeration besoin aide resoudre probleme quotidien employer continuer besoin intercommun...
EL191_L_1993_03_034_03_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1993-03-28,Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;Union du centre;divers droite,RIGHT_UPF,RIGHT_UPF,CORRECT,5.0571,7,0.4692,0.0657,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,botan republique legislative chevalier legion honneur officier ordre merite conseil regional temp remercier dernier opposition souhaiter adresser abstenir convaincre montee chomage immigration clandestin cortege trouble social augmentation forme delinquance lourd impot inadaptation education besoin enfant desinteret monde rural faillite securite social menace peser retraite gachis public affaiblissement affaire corruption resultat politique nefaste resultat fatalite socialiste ineluctable ne_soc...
EL174_L_1988_06_013_07_2_PF_02,TOP 10 STATISTICAL OUTLIERS,1988-06-12,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,5.0558,8,0.5362,0.0485,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative raison present remplir contribuable payent difference collegue elire ne_entendre socialiste vœu prononcer union antisocialiste preference priorite emploi suppression taxe professionnel creation revenu maternel famille peine assassin trafiquant drogue defendre liberte enseignement lutte reduction fiscal social preconiser referendum initiative populaire conviction promesse preoccuper interet carriere appareil travailler creer grand rassemblement assurer avenir redressement pays conseil...
EL189_L_1993_03_013_07_2_PF_01,TOP 10 STATISTICAL OUTLIERS,1993-03-28,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,5.0212,9,0.6032,0.075,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative satisfaire ne_changer traite ruine economie generer chomage plaire remplacer socialiste rpr rpr ne_changer grand mouvement populaire social besoin parti depit magouille rpr monopoliser obliger promesse sinistrer gestion socialo upf perdre millier habitant parti spolier ecoeurer reagir famille indochine conseiller secretaire groupe conseil regional secretaire departemental suppleante famille decorateur populaire entente gauche caviar droite liberal immigration chomage impots insecurit...
EL197_L_1993_03_089_03_1_PF_06,TOP 10 STATISTICAL OUTLIERS,1993-03-21,Front national,FAR_RIGHT_FN,FAR_RIGHT_FN,CORRECT,4.7748,11,0.7373,0.0202,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative votez peres conseiller regional retraite marier enfant participer liberation prise licencie droit faculte creer developper entreprise personne charger mission gestion membre comite central maitre panse notaire president insecurite impot affaire gaspillage public guerre constater dramatique connaitre responsable politicien gauche droite decennie reveler incapable gouverner occuper dechirer prendre soucier contribuable incapable promesse tromper budget apporter demonstration precedent ...
EL196_L_1993_03_078_05_2_PF_01,TOP 10 STATISTICAL OUTLIERS,1993-03-28,Rassemblement pour la République;Centre national des indépendants,RIGHT_RPR,RIGHT_RPR,CORRECT,4.7396,12,0.8043,0.0484,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislative investir rpr cni remercier porter manœuvre deliberer destiner tromper echec choisir tete universel issue opposition appeler attacher honnetete franchise rassembler candidature union opposition combat merite mener redressement creer societe solidaire yveline allocution choquer investir editer marquer rpr investiture rpr ne_tromper malhonnete entendre denoncer malhonnete abus confiance veritable abus confiance prochain conformere choix mois investir rpr cni rassemblement republique dep...
EL137_L_1981_06_076_09_1_PF_01,TOP 10 STATISTICAL OUTLIERS,1981-06-14,Lutte ouvrière,FAR_LEFT,FAR_LEFT,CORRECT,4.696,13,0.8713,0.0125,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,legislatif michele petiteville employe presenter lutte ouvriere carpentier reeducatrice travailleuse travailleur lutte ouvrier formation presenter candidature presidentiel solliciter presenter rpr sigle union majorite reclamer majorite presidentiel droite ne_subir quart siecle majorite venir desavouer presidentielle ne_ramener legislative ennemi salarie ouvrier employe ne_representer interet paysan commercant artisan chercher gouvernement quart paysannerie chasser centaine millier quitter vivre ...
EL135_L_1981_06_059_04_1_PF_05,TOP 10 STATISTICAL OUTLIERS,1981-06-14,Rassemblement pour la République,RIGHT_RPR,RIGHT_RPR,CORRECT,4.5403,14,0.9383,0.1,Intra-class Outlier. Visually isolated but semantically aligned to decision boundary.,rpr suppleantelection legislative citoyen presente connaitre vivre probleme region douloureux fleau chomage enfant connaitre vivre probleme familial angoissant logement inflation connaitre inquietude jeunesse bureaucratie saignee fiscal garrot administratif risque aggraver vrai adversaire denoncer combattre presente elire definir enjeu prochain appuyer gouverner majorite universel designer parti communiste devenir element necessaire majorite participe gouvernement socialiste expulser engager ass...
