Political_Bloc,Rank,Positive_Feature,Pos_Weight,Negative_Feature,Neg_Weight
ECO,1,ecologie,3.4434,autogestion,-0.8937
ECO,2,ecologiste,2.5862,rpr,-0.8278
ECO,3,solidarite ecologie,1.2769,nante,-0.8171
ECO,4,alternative,1.0754,socialiste,-0.7962
ECO,5,gauche alternative,1.071,majorite,-0.7391
ECO,6,generation,1.0702,parti socialiste,-0.7103
ECO,7,entente,1.03,autogestionnaire,-0.6383
ECO,8,pollution,0.9903,psu,-0.5925
ECO,9,ecologie gauche,0.9806,securite,-0.5803
ECO,10,planete,0.8927,parti,-0.5719
ECO,11,nature,0.8646,communiste,-0.5671
ECO,12,fabrication,0.841,radical,-0.5625
ECO,13,entente ecologiste,0.8084,solidarite emploi,-0.5567
ECO,14,controleur,0.7893,lcr,-0.5439
ECO,15,ecologie democratie,0.7867,travailleur,-0.5422
ECO,16,transport,0.769,udf,-0.5121
ECO,17,animal,0.7518,femme,-0.5065
ECO,18,recycler,0.7475,rassembler,-0.4959
ECO,19,humain,0.7446,transport loisir,-0.489
ECO,20,ecologique,0.7421,echange equitable,-0.4771
FAR_LEFT,1,lcr,1.247,medaille commemoratif,-0.5401
FAR_LEFT,2,enfant fonctionnaire,1.0389,commemoratif,-0.5286
FAR_LEFT,3,gauche vraiment,0.9214,legislative eme,-0.5252
FAR_LEFT,4,police,0.9055,eme,-0.4952
FAR_LEFT,5,vendre sacrifice,0.8778,equivalent,-0.4363
FAR_LEFT,6,fonctionnement vendre,0.8778,minimum smic,-0.4313
FAR_LEFT,7,pen enfant,0.8676,surcharger,-0.4283
FAR_LEFT,8,changer gauche,0.7512,emploi societe,-0.425
FAR_LEFT,9,fonctionnaire,0.7484,achat retraite,-0.4205
FAR_LEFT,10,egalite droit,0.7208,estuaire,-0.4145
FAR_LEFT,11,vraiment,0.6775,garantie achat,-0.4113
FAR_LEFT,12,patron,0.6469,indemnisation chomage,-0.4109
FAR_LEFT,13,municipal compatriote,0.6407,assistant parlementaire,-0.4038
FAR_LEFT,14,document,0.6303,medaille,-0.3931
FAR_LEFT,15,rotographie,0.6262,animateur association,-0.3884
FAR_LEFT,16,egalite,0.6016,indemnisation,-0.3824
FAR_LEFT,17,contraception,0.576,public public,-0.3799
FAR_LEFT,18,guerre golfe,0.5537,entendre poursuivre,-0.3771
FAR_LEFT,19,golfe,0.5478,defense droit,-0.3749
FAR_LEFT,20,votez reduire,0.5254,annonce,-0.3724
FAR_RIGHT_FN,1,immigre,1.0673,licencier droit,-1.1361
FAR_RIGHT_FN,2,immigration,1.0348,administrateur,-0.822
FAR_RIGHT_FN,3,patrie,1.0227,enfant fonctionnaire,-0.8059
FAR_RIGHT_FN,4,upf,0.974,avis,-0.7997
FAR_RIGHT_FN,5,impot,0.9422,medecine,-0.7694
FAR_RIGHT_FN,6,cercle,0.895,idee nationale,-0.7674
FAR_RIGHT_FN,7,populaire,0.7949,pen enfant,-0.7494
FAR_RIGHT_FN,8,sida,0.776,licencier,-0.74
FAR_RIGHT_FN,9,populaire social,0.748,municipal compatriote,-0.5224
FAR_RIGHT_FN,10,etranger,0.7279,budget,-0.5215
FAR_RIGHT_FN,11,liste entente,0.7147,union rpr,-0.4716
FAR_RIGHT_FN,12,priorite,0.6968,votez reduire,-0.4671
FAR_RIGHT_FN,13,immigration insecurite,0.6949,changement,-0.4612
FAR_RIGHT_FN,14,corruption,0.6908,fonctionnaire,-0.4468
FAR_RIGHT_FN,15,entente,0.6896,personne,-0.4457
FAR_RIGHT_FN,16,drogue,0.6805,construction,-0.4285
FAR_RIGHT_FN,17,peine,0.6415,police,-0.4247
FAR_RIGHT_FN,18,olivier,0.6399,action,-0.3996
FAR_RIGHT_FN,19,votez,0.6359,corruption volonte,-0.3953
FAR_RIGHT_FN,20,preference,0.6299,departement,-0.3932
LEFT_PCF,1,communiste,4.2418,socialiste,-1.5448
LEFT_PCF,2,parti communiste,3.3736,parti socialiste,-1.162
LEFT_PCF,3,droite,1.9136,rpr,-1.1364
LEFT_PCF,4,gauche,1.8421,fabrication,-1.0526
LEFT_PCF,5,union gauche,1.6018,legislative defendre,-0.9782
LEFT_PCF,6,majorite gauche,1.2997,udf,-0.7686
LEFT_PCF,7,paix,1.2945,president,-0.6842
LEFT_PCF,8,rassemblement gauche,1.2925,majorite,-0.6549
LEFT_PCF,9,gauche presenter,1.1473,votez,-0.6518
LEFT_PCF,10,reussir changement,1.1233,udf rpr,-0.6454
LEFT_PCF,11,presenter parti,1.0649,choisir,-0.6433
LEFT_PCF,12,reporter,1.064,engagement changer,-0.635
LEFT_PCF,13,appeler,1.0582,eviter,-0.6349
LEFT_PCF,14,proposition,1.0566,republique,-0.6279
LEFT_PCF,15,desistement,1.0174,communiste ecologiste,-0.6247
LEFT_PCF,16,rassemblement,1.009,manifester,-0.6232
LEFT_PCF,17,accord,1.007,lcr,-0.6173
LEFT_PCF,18,defaite,0.9836,programme,-0.6135
LEFT_PCF,19,valeur gauche,0.9763,socialisme,-0.6073
LEFT_PCF,20,gauche placer,0.9685,communiste ne_accord,-0.6066
LEFT_PS,1,socialiste,2.669,communiste,-4.506
LEFT_PS,2,parti socialiste,2.3914,union,-3.3817
LEFT_PS,3,radical socialiste,2.3439,parti communiste,-3.1381
LEFT_PS,4,majorite,2.0278,rpr,-2.9912
LEFT_PS,5,radical,1.9204,ecologie,-1.9762
LEFT_PS,6,socialiste majorite,1.9109,udf,-1.9277
LEFT_PS,7,progres,1.8589,union rassemblement,-1.6594
LEFT_PS,8,alliance progres,1.8343,majorite gauche,-1.4507
LEFT_PS,9,unie,1.699,redressement,-1.384
LEFT_PS,10,majorite presidentiel,1.4651,immigration,-1.3762
LEFT_PS,11,socialistes,1.3836,union rpr,-1.2639
LEFT_PS,12,alliance,1.3425,union majorite,-1.245
LEFT_PS,13,conservateur,1.2886,reporter,-1.1926
LEFT_PS,14,centre gauche,1.2732,rassemblement centre,-1.1663
LEFT_PS,15,udf parti,1.1849,desistement,-1.1654
LEFT_PS,16,donner,1.1749,reagir,-1.1571
LEFT_PS,17,appeler rassemblement,1.1634,union gauche,-1.1558
LEFT_PS,18,mrg,1.1554,communiste parti,-1.1222
LEFT_PS,19,changement,1.1542,gauche appeler,-1.1127
LEFT_PS,20,titulaire,1.1506,accord politique,-1.0724
RIGHT_RPR,1,rassemblement republique,4.4228,udf,-3.1053
RIGHT_RPR,2,union majorite,2.1408,union rpr,-2.5197
RIGHT_RPR,3,rpr,2.1313,rpr udf,-1.7472
RIGHT_RPR,4,gaulliste,1.9501,destin union,-1.6313
RIGHT_RPR,5,republique,1.7673,union democratie,-1.5898
RIGHT_RPR,6,centre independant,1.5286,udf rpr,-1.4991
RIGHT_RPR,7,avocat ancien,1.4885,droite,-1.4126
RIGHT_RPR,8,desirer,1.436,alain,-1.2771
RIGHT_RPR,9,retrouver confiance,1.4169,parti,-1.251
RIGHT_RPR,10,equivoque,1.4034,constituer majorite,-1.2085
RIGHT_RPR,11,collectivisme,1.3925,unique,-1.1989
RIGHT_RPR,12,dominiqu,1.3795,union constituer,-1.1886
RIGHT_RPR,13,rpr conseiller,1.2328,pays souhaiter,-1.1865
RIGHT_RPR,14,socialiste socialiste,1.2092,union,-1.15
RIGHT_RPR,15,appartenance,1.1711,soutenir,-1.0597
RIGHT_RPR,16,surprise,1.164,majorite udf,-1.0424
RIGHT_RPR,17,legislative rpr,1.1571,liberal,-1.008
RIGHT_RPR,18,contraire,1.1098,social,-0.9978
RIGHT_RPR,19,entrainer,1.0638,vivre,-0.9941
RIGHT_RPR,20,representer,1.0504,conseil regional,-0.9844
RIGHT_UDF,1,udf,2.7573,rpr,-3.0109
RIGHT_UDF,2,union democratie,2.7484,rpr udf,-2.3254
RIGHT_UDF,3,sortir udf,1.7984,rassemblement republique,-2.0552
RIGHT_UDF,4,secretaire rpr,1.4402,gauche,-1.6558
RIGHT_UDF,5,cds,1.3994,udf rpr,-1.5063
RIGHT_UDF,6,soutien candidature,1.3954,unique,-1.4789
RIGHT_UDF,7,parti republicain,1.3729,union rpr,-1.4374
RIGHT_UDF,8,presenter union,1.3552,rassemblement,-1.2506
RIGHT_UDF,9,rpr conseil,1.3112,republique,-1.2403
RIGHT_UDF,10,vrai,1.2676,majorite rpr,-1.1689
RIGHT_UDF,11,enfant pays,1.2621,souci,-1.1566
RIGHT_UDF,12,commerce,1.2355,union udf,-1.1275
RIGHT_UDF,13,membre conseil,1.2179,parti socialiste,-1.0877
RIGHT_UDF,14,liberal,1.1933,progres,-1.0183
RIGHT_UDF,15,designer,1.1665,majorite presenter,-0.9035
RIGHT_UDF,16,rpr votez,1.129,majorite presidentiel,-0.886
RIGHT_UDF,17,disponible,1.1039,unique union,-0.8819
RIGHT_UDF,18,ouverture,1.0728,republique rpr,-0.8803
RIGHT_UDF,19,fernand,1.0694,condition,-0.8774
